Distance (m),Force (N)
0.002685,1.695445
0.002685,1.701703
0.002685,1.695445
0.002685,1.689187
0.002685,1.707961
0.002685,1.701703
0.002685,1.701703
0.002685,1.707961
0.002685,1.707961
0.002685,1.707961
0.002685,1.714219
0.002685,1.707961
0.002685,1.720477
0.002685,1.707961
0.002685,1.701703
0.002685,1.714219
0.002685,1.707961
0.002685,1.707961
0.002685,1.707961
0.002685,1.714219
0.002685,1.714219
0.002685,1.707961
0.002685,1.701703
0.002685,1.701703
0.002685,1.695445
0.002685,1.695445
0.002685,1.701703
0.002685,1.695445
0.002685,1.676672
0.002685,1.676672
0.002685,1.664156
0.002685,1.657898
0.002685,1.657898
0.002685,1.65164
0.002685,1.657898
0.002685,1.639125
0.002685,1.65164
0.002685,1.65164
0.002685,1.632867
0.002685,1.632867
0.002685,1.620351
0.002685,1.607836
0.002685,1.607836
0.002685,1.614094
0.002685,1.614094
0.002685,1.607836
0.002685,1.59532
0.002685,1.607836
0.002685,1.589062
0.002685,1.59532
0.002685,1.59532
0.002685,1.576547
0.002685,1.589062
0.002685,1.570289
0.002685,1.501453
0.002685,1.488937
0.002685,1.495195
0.002685,1.495195
0.002685,1.470164
0.002685,1.482679
0.002685,1.463906
0.002685,1.432617
0.002685,1.420101
0.002685,1.432617
0.002685,1.426359
0.002685,1.426359
0.002685,1.438875
0.002685,1.445132
0.002685,1.438875
0.002685,1.432617
0.002685,1.438875
0.002685,1.445132
0.002685,1.432617
0.002685,1.420101
0.002685,1.39507
0.002685,1.388812
0.002685,1.388812
0.002685,1.376296
0.002685,1.370038
0.002685,1.345007
0.002685,1.332492
0.002685,1.288687
0.002685,1.244882
0.002685,1.132241
0.002685,1.05089
0.002685,1.013343
0.002685,1.013343
0.002685,0.994569
0.002685,1.007085
0.002685,0.994569
0.002685,0.994569
0.002685,0.994569
0.002685,0.975796
0.002685,0.944507
0.002685,0.900702
0.002685,0.900702
0.002685,0.875671
0.002685,0.844381
0.002685,0.800577
0.002685,0.756772
0.002685,0.725483
0.002685,0.706709
0.002685,0.719225
0.002685,0.725483
0.002685,0.719225
0.002685,0.712967
0.002685,0.700451
0.002685,0.719225
0.002685,0.706709
0.002685,0.706709
0.002685,0.706709
0.002685,0.694194
0.002685,0.694194
0.002685,0.700451
0.002685,0.681678
0.002685,0.669162
0.002685,0.669162
0.002685,0.669162
0.002685,0.656647
0.002685,0.650389
0.002685,0.637873
0.002685,0.631615
0.002685,0.625358
0.002685,0.625358
0.002685,0.631615
0.002685,0.631615
0.002685,0.631615
0.002685,0.625358
0.002685,0.625358
0.002685,0.625358
0.002685,0.637873
0.002685,0.625358
0.002685,0.631615
0.002685,0.6191
0.002685,0.612842
0.002685,0.625358
0.002685,0.6191
0.002685,0.6191
0.002685,0.612842
0.002685,0.6191
0.002685,0.6191
0.002685,0.625358
0.002685,0.6191
0.002685,0.625358
0.002685,0.612842
0.002685,0.6191
0.002685,0.612842
0.002685,0.6191
0.002685,0.606584
0.002685,0.6191
0.002685,0.612842
0.002685,0.6191
0.002685,0.6191
0.002685,0.625358
0.002685,0.6191
0.002685,0.612842
0.002685,0.631615
0.002685,0.6191
0.002685,0.637873
0.002685,0.637873
0.002685,0.644131
0.002685,0.637873
0.002685,0.625358
0.002685,0.637873
0.002685,0.631615
0.002685,0.637873
0.002685,0.631615
0.002685,0.625358
0.002685,0.637873
0.002685,0.637873
0.002685,0.631615
0.002685,0.631615
0.002685,0.612842
0.002685,0.606584
0.002685,0.587811
0.002685,0.575295
0.002685,0.575295
0.002685,0.581553
0.002685,0.581553
0.002685,0.575295
0.002685,0.575295
0.002685,0.581553
0.002685,0.581553
0.002685,0.587811
0.002685,0.581553
0.002685,0.569037
0.002909,0.587811
0.003133,0.569037
0.00358,0.537748
0.004699,0.493943
0.005818,0.443881
0.007384,0.38756
0.008727,0.33124
0.009398,0.299951
0.009398,0.299951
0.009398,0.287435
0.009398,0.268662
0.009398,0.268662
0.009398,0.256146
0.009398,0.249888
0.009398,0.237373
0.009398,0.218599
0.009398,0.218599
0.009398,0.212341
0.009398,0.199826
